date,index_name,value,source
2019-01-01,BDI,1650.0,SYNTHETIC_DEMO
2019-01-01,BCI,2382.3,SYNTHETIC_DEMO
2019-01-01,BPI,1521.3,SYNTHETIC_DEMO
2019-01-01,BSI,1210.8,SYNTHETIC_DEMO
2019-01-01,BHSI,693.2,SYNTHETIC_DEMO
2019-01-02,BDI,1672.4,SYNTHETIC_DEMO
2019-01-02,BCI,2384.3,SYNTHETIC_DEMO
2019-01-02,BPI,1530.2,SYNTHETIC_DEMO
2019-01-02,BSI,1208.3,SYNTHETIC_DEMO
2019-01-02,BHSI,709.5,SYNTHETIC_DEMO
2019-01-03,BDI,1707.8,SYNTHETIC_DEMO
2019-01-03,BCI,2398.2,SYNTHETIC_DEMO
2019-01-03,BPI,1650.6,SYNTHETIC_DEMO
2019-01-03,BSI,1208.1,SYNTHETIC_DEMO
2019-01-03,BHSI,716.3,SYNTHETIC_DEMO
2019-01-04,BDI,1706.0,SYNTHETIC_DEMO
2019-01-04,BCI,2437.1,SYNTHETIC_DEMO
2019-01-04,BPI,1549.4,SYNTHETIC_DEMO
2019-01-04,BSI,1221.2,SYNTHETIC_DEMO
2019-01-04,BHSI,711.4,SYNTHETIC_DEMO
2019-01-05,BDI,1733.0,SYNTHETIC_DEMO
2019-01-05,BCI,2399.9,SYNTHETIC_DEMO
2019-01-05,BPI,1573.1,SYNTHETIC_DEMO
2019-01-05,BSI,1276.4,SYNTHETIC_DEMO
2019-01-05,BHSI,744.6,SYNTHETIC_DEMO
2019-01-06,BDI,1710.3,SYNTHETIC_DEMO
2019-01-06,BCI,2553.4,SYNTHETIC_DEMO
2019-01-06,BPI,1560.6,SYNTHETIC_DEMO
2019-01-06,BSI,1219.1,SYNTHETIC_DEMO
2019-01-06,BHSI,730.5,SYNTHETIC_DEMO
2019-01-07,BDI,1740.0,SYNTHETIC_DEMO
2019-01-07,BCI,2420.2,SYNTHETIC_DEMO
2019-01-07,BPI,1635.1,SYNTHETIC_DEMO
2019-01-07,BSI,1235.0,SYNTHETIC_DEMO
2019-01-07,BHSI,754.3,SYNTHETIC_DEMO
2019-01-08,BDI,1762.2,SYNTHETIC_DEMO
2019-01-08,BCI,2468.9,SYNTHETIC_DEMO
2019-01-08,BPI,1637.6,SYNTHETIC_DEMO
2019-01-08,BSI,1252.9,SYNTHETIC_DEMO
2019-01-08,BHSI,729.5,SYNTHETIC_DEMO
2019-01-09,BDI,1733.9,SYNTHETIC_DEMO
2019-01-09,BCI,2477.9,SYNTHETIC_DEMO
2019-01-09,BPI,1598.6,SYNTHETIC_DEMO
2019-01-09,BSI,1230.7,SYNTHETIC_DEMO
2019-01-09,BHSI,720.4,SYNTHETIC_DEMO
2019-01-10,BDI,1719.5,SYNTHETIC_DEMO
2019-01-10,BCI,2483.6,SYNTHETIC_DEMO
2019-01-10,BPI,1583.6,SYNTHETIC_DEMO
2019-01-10,BSI,1232.5,SYNTHETIC_DEMO
2019-01-10,BHSI,725.7,SYNTHETIC_DEMO
2019-01-11,BDI,1713.0,SYNTHETIC_DEMO
2019-01-11,BCI,2382.5,SYNTHETIC_DEMO
2019-01-11,BPI,1574.0,SYNTHETIC_DEMO
2019-01-11,BSI,1233.3,SYNTHETIC_DEMO
2019-01-11,BHSI,732.8,SYNTHETIC_DEMO
2019-01-12,BDI,1735.4,SYNTHETIC_DEMO
2019-01-12,BCI,2469.9,SYNTHETIC_DEMO
2019-01-12,BPI,1571.8,SYNTHETIC_DEMO
2019-01-12,BSI,1254.1,SYNTHETIC_DEMO
2019-01-12,BHSI,720.1,SYNTHETIC_DEMO
2019-01-13,BDI,1735.0,SYNTHETIC_DEMO
2019-01-13,BCI,2441.6,SYNTHETIC_DEMO
